mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4151035308837892,0.018187469669668433,1.49868803024292,0.011223034326403078,10,0.005,"{'svc__C': 10, 'svc__gamma': 0.005}",0.8790625,0.8725,0.8834375,0.8925,0.878125,0.8811249999999999,0.0066690750857970995,22
1.3302481651306153,0.012754973532440712,1.3066154956817626,0.008424174925416974,10,0.01,"{'svc__C': 10, 'svc__gamma': 0.01}",0.915625,0.9121875,0.9146875,0.9228125,0.9065625,0.914375,0.005266343608235218,19
1.2754666805267334,0.02143278893974109,1.1737238407135009,0.021513722486310866,10,0.02,"{'svc__C': 10, 'svc__gamma': 0.02}",0.9440625,0.944375,0.945,0.9503125,0.94125,0.945,0.0029514297382793923,13
1.3457164287567138,0.01692669880397871,1.151035976409912,0.027692236357645436,10,0.05,"{'svc__C': 10, 'svc__gamma': 0.05}",0.9565625,0.9659375,0.9690625,0.963125,0.961875,0.9633125,0.004186100512410105,7
1.7948327541351319,0.018777459477085937,1.2625884532928466,0.013818749842104409,10,0.1,"{'svc__C': 10, 'svc__gamma': 0.1}",0.969375,0.9709375,0.974375,0.97375,0.9709375,0.971875,0.0018853878911247947,1
1.4165410041809081,0.012371532237097672,1.1580843925476074,0.006608790853660816,50,0.005,"{'svc__C': 50, 'svc__gamma': 0.005}",0.9175,0.91625,0.9196875,0.9271875,0.91375,0.9188750000000001,0.004578311642953139,18
1.4156535625457765,0.02707978434150548,1.0499505043029784,0.05688404858935494,50,0.01,"{'svc__C': 50, 'svc__gamma': 0.01}",0.9428125,0.941875,0.945,0.95375,0.9390625,0.9445,0.005002343200940919,14
1.3939873218536376,0.014002556537136168,0.9870779037475585,0.01823442532869864,50,0.02,"{'svc__C': 50, 'svc__gamma': 0.02}",0.950625,0.9596875,0.9653125,0.96125,0.954375,0.9582500000000002,0.00517883312146665,10
1.4001780033111573,0.021027085309147705,1.0859063625335694,0.009296229235947827,50,0.05,"{'svc__C': 50, 'svc__gamma': 0.05}",0.964375,0.9671875,0.970625,0.9678125,0.9659375,0.9671875,0.002082291406119699,5
1.7822349071502686,0.04735113935183828,1.2518340587615966,0.02256709102964788,50,0.1,"{'svc__C': 50, 'svc__gamma': 0.1}",0.968125,0.97,0.975,0.9734375,0.968125,0.9709375,0.002809025631780511,2
1.538062858581543,0.019325470793412805,1.056727123260498,0.019979802922432125,100,0.005,"{'svc__C': 100, 'svc__gamma': 0.005}",0.9315625,0.9278125,0.928125,0.939375,0.9259375,0.9305625000000001,0.0047655993851770505,15
1.5108465671539306,0.01868082332800548,0.9564011573791504,0.010317232275268122,100,0.01,"{'svc__C': 100, 'svc__gamma': 0.01}",0.9440625,0.9509375,0.9515625,0.9534375,0.9425,0.9485000000000001,0.004367851302414037,12
1.428844976425171,0.018917308450694247,0.9399410247802734,0.01753871137292473,100,0.02,"{'svc__C': 100, 'svc__gamma': 0.02}",0.9565625,0.958125,0.9653125,0.9615625,0.9584375,0.96,0.003112474899497186,8
1.418366003036499,0.03104823358753874,1.084856128692627,0.017103790233846693,100,0.05,"{'svc__C': 100, 'svc__gamma': 0.05}",0.964375,0.9671875,0.9684375,0.966875,0.9659375,0.9665625,0.0013549677117924166,6
1.780012273788452,0.018518821961851836,1.253087568283081,0.03427253602553717,100,0.1,"{'svc__C': 100, 'svc__gamma': 0.1}",0.9678125,0.969375,0.97375,0.973125,0.9678125,0.970375,0.002572389453407105,3
